Item No,Component,Specification,Quantity,Approx Cost (INR),Purchase Link
1,ESP32-CAM,AI Thinker ESP32-CAM,1,700,https://robu.in/?s=ESP32-CAM
2,PIR Motion Sensor,HC-SR501,1,120,https://robu.in/?s=HC-SR501
3,Active Buzzer,5V Active Buzzer Module,1,30,https://robu.in/?s=active+buzzer
4,LED,5mm White LED,1,10,https://robu.in/?s=5mm+LED
5,Resistor,220 Ohm 1/4W,1,2,https://robu.in/?s=220+ohm+resistor
6,Breadboard,830 Tie Point Breadboard,1,120,https://robu.in/?s=breadboard
7,Jumper Wires,Male-to-Male Pack,1,100,https://robu.in/?s=jumper+wires
8,FTDI Programmer,USB to TTL FTDI Adapter,1,300,https://robu.in/?s=FTDI
9,USB Cable,Micro USB Cable,1,80,https://robu.in/?s=micro+usb+cable
10,Power Adapter,5V USB Adapter,1,200,https://robu.in/?s=5v+usb+adapter
,,,,,
Total Estimated Cost,,,,"1662 INR",
